Student_ID,Age,Gender,State,School_Type,Study_Hours_Per_Week,Attendance_Rate_Pct,Previous_Exam_Score_Pct,Mock_Exam_Score_Pct,Number_of_Subjects,Attends_Extra_Classes,Parental_Education_Level,Household_Income_Level,Distance_to_School_km,Has_Internet_Access,Has_Textbook_Access,WAEC_Pass_Likelihood_Pct,Predicted_Outcome
WAEC0001,15,Female,Lagos,Public,16.8,64.6,39.9,42.0,8,Yes,Tertiary,Low,0.6,Yes,No,6.7,Fail
WAEC0002,18,Female,Abia,Private,8.4,100.0,44.5,40.6,9,No,Secondary,Low,0.6,Yes,Yes,48.4,Fail
WAEC0003,18,Female,Plateau,Private,7.7,85.3,49.8,46.4,9,No,Secondary,Low,1.1,No,No,31.6,Fail
WAEC0004,17,Male,Abia,Private,14.3,86.6,33.6,45.0,7,Yes,Tertiary,High,6.5,Yes,No,77.9,Pass
WAEC0005,17,Female,Anambra,Private,16.9,78.3,48.7,51.3,9,Yes,Tertiary,Middle,1.1,Yes,Yes,68.1,Pass
WAEC0006,19,Female,Osun,Private,12.2,79.9,56.8,49.3,8,No,Secondary,Low,5.5,Yes,Yes,46.1,Fail
WAEC0007,15,Male,Anambra,Private,5.6,93.6,49.0,35.2,7,Yes,Secondary,Middle,6.3,Yes,No,40.5,Fail
WAEC0008,18,Female,Plateau,Public,5.2,81.6,50.9,62.2,8,Yes,Tertiary,Low,1.2,No,Yes,17.8,Fail
WAEC0009,16,Female,Edo,Private,4.9,88.4,54.7,52.2,9,No,Primary,Low,3.4,Yes,Yes,47.1,Fail
WAEC0010,15,Female,Lagos,Public,3.2,79.6,45.2,51.5,9,Yes,Tertiary,Low,2.2,Yes,Yes,68.2,Pass
WAEC0011,17,Female,Imo,Public,12.5,77.9,65.4,80.8,8,Yes,None,Middle,12.2,Yes,Yes,67.0,Pass
WAEC0012,19,Male,Lagos,Private,17.6,65.1,76.5,66.4,7,Yes,Primary,Low,2.6,No,Yes,34.9,Fail
WAEC0013,18,Female,Katsina,Private,11.9,58.3,48.0,50.5,7,No,Tertiary,Middle,0.2,Yes,Yes,85.6,Pass
WAEC0014,18,Male,Cross River,Private,0.7,78.9,62.3,63.6,7,Yes,Secondary,Low,2.9,No,Yes,37.1,Fail
WAEC0015,18,Female,Anambra,Public,11.0,82.7,51.4,58.2,9,Yes,Primary,Middle,3.6,Yes,No,53.6,Pass
WAEC0016,18,Female,Edo,Private,11.2,66.6,60.5,75.9,8,Yes,Primary,High,1.8,Yes,Yes,64.9,Pass
WAEC0017,17,Male,Cross River,Private,22.5,81.6,78.5,68.2,8,Yes,Secondary,Low,10.8,No,Yes,64.2,Pass
WAEC0018,15,Male,Kaduna,Public,4.7,82.6,62.6,71.3,9,Yes,Tertiary,Low,7.3,Yes,Yes,7.3,Fail
WAEC0019,19,Male,Kaduna,Public,10.0,56.1,28.4,41.7,9,Yes,None,High,2.0,Yes,No,8.3,Fail
WAEC0020,17,Male,Ogun,Public,20.5,71.0,61.8,62.9,9,Yes,None,Middle,1.4,No,Yes,39.2,Fail
WAEC0021,17,Male,Kaduna,Private,14.2,86.9,73.5,75.1,7,Yes,Secondary,Middle,1.3,Yes,No,78.1,Pass
WAEC0022,16,Male,Benue,Public,14.8,86.6,51.7,58.9,8,No,Tertiary,Low,0.9,Yes,Yes,87.2,Pass
WAEC0023,15,Male,Kano,Private,12.6,68.2,69.9,76.3,9,Yes,Primary,Low,9.4,No,Yes,15.0,Fail
WAEC0024,19,Male,Osun,Public,13.6,83.9,44.6,53.4,9,Yes,Tertiary,Middle,1.8,Yes,No,43.4,Fail
WAEC0025,18,Female,Delta,Private,15.9,94.3,32.7,41.3,7,No,Tertiary,High,0.4,Yes,No,37.6,Fail
WAEC0026,18,Male,Abia,Public,8.0,91.3,57.1,50.3,8,No,Primary,Low,5.2,Yes,Yes,9.2,Fail
WAEC0027,17,Male,Rivers,Private,16.4,80.9,28.7,41.6,9,No,Tertiary,Middle,0.4,No,Yes,76.3,Pass
WAEC0028,19,Male,Anambra,Public,5.1,76.4,51.4,66.1,7,Yes,Secondary,Middle,11.1,Yes,Yes,84.2,Pass
WAEC0029,17,Female,Benue,Public,13.6,74.4,74.3,79.2,8,Yes,Secondary,Low,0.2,Yes,Yes,47.3,Fail
WAEC0030,17,Male,Kaduna,Private,12.9,87.6,26.4,14.5,7,Yes,Secondary,Low,2.1,No,No,8.7,Fail
WAEC0031,17,Female,Kano,Private,8.9,84.3,35.8,37.7,9,Yes,Tertiary,Low,2.5,No,No,11.9,Fail
WAEC0032,16,Male,Imo,Private,11.9,89.6,39.5,44.4,7,Yes,Tertiary,Middle,3.6,No,Yes,92.3,Pass
WAEC0033,15,Male,Rivers,Public,8.9,83.6,54.1,45.7,7,No,Tertiary,Middle,0.4,Yes,Yes,81.8,Pass
WAEC0034,17,Male,Delta,Public,6.6,91.8,49.5,48.9,7,Yes,Tertiary,Middle,6.0,Yes,Yes,64.1,Pass
WAEC0035,19,Male,Edo,Public,10.2,83.1,76.0,64.9,7,No,Secondary,Low,1.7,Yes,Yes,12.8,Fail
WAEC0036,15,Female,Abia,Public,6.5,91.4,69.3,78.4,8,Yes,Tertiary,Middle,4.8,No,No,31.5,Fail
WAEC0037,19,Male,Cross River,Private,13.6,92.4,62.4,67.1,7,Yes,Tertiary,Middle,2.0,Yes,Yes,93.3,Pass
WAEC0038,19,Male,Kwara,Private,6.2,72.3,57.2,43.7,8,No,Primary,Middle,3.2,No,Yes,40.5,Fail
WAEC0039,16,Female,Osun,Private,15.6,60.3,60.9,67.4,8,No,None,Middle,8.7,Yes,Yes,3.2,Fail
WAEC0040,18,Female,Oyo,Private,6.1,100.0,42.1,44.5,8,Yes,Secondary,Low,0.2,No,No,29.1,Fail
